timestamp,activity
20230808-165049,"Activity: The person is running a Python script called ""main.py"" in the iTerm2 shell, encountering an error related to a chat model not supported in GPT-3.5 Turbo. They are also performing OCR on a screenshot and saving it to the database."
20230808-165126,"The person is using various online platforms such as GitHub, Twitter, and a search engine, and engaging in activities like exploring trending topics, reading articles, sharing tweets, and discussing friend groups."
20230808-165200,"The person is using Twitter, exploring trending topics, sending a tweet, and interacting with other users."
20230808-165235,"The person is using Twitter, exploring trending topics, sending a tweet, and interacting with other users."
20230808-165310,"The person is using Chrome to perform various actions such as copying, pasting, importing, and creating new items, while also accessing a Google document and engaging in screen capturing and task inference activities. They also mention basic time tracking and using a database for creating a timestamp report, and express their goal of completing an MVP (Minimum Viable Product) within the week."
20230808-165345,"The person is using Google Chrome to access a document on Google Docs and is working on screen capturing and task inference for a project."
20230808-165418,"The person is using Chrome to access a document on Google Docs and is working on a project involving screen capturing, task inference, and time tracking. They also mention wanting to finish an MVP (Minimum Viable Product) this week."
20230808-165452,"The person is using the Chrome browser and working on a document or project related to screen capturing, task inference, and time tracking. They also mention wanting to finish an MVP (Minimum Viable Product) this week."
20230808-165526,"The person is using Chrome and working on a document in Google Docs, possibly related to screen capturing and task inference, with the goal of finishing an MVP this week."
20230808-165559,"The person is using Chrome and working on a document in Google Docs, specifically focusing on screen capturing and task inference for an MVP project."
20230808-165632,"The person is using Chrome and working on a document in Google Docs, possibly related to screen capturing and task inference, with the goal of finishing an MVP this week."
20230808-165705,"The person is using Chrome and working on a document in Google Docs, possibly related to screen capturing and task inference, with the goal of finishing an MVP this week."
20230808-165739,"The person is using Chrome and working on a document, possibly related to screen capturing, task inference, and time tracking, with the goal of finishing an MVP this week."
20230808-165812,"The person is using Google Chrome and working on a document, possibly related to programming and using Git. They are also working on screen capturing and task inference. They have a to-do list and are planning to finish an MVP (Minimum Viable Product) this week."
20230808-165846,"The person is using the Chrome browser and working on a document, possibly related to coding or programming, while also working on screen capturing and task inference. They mention wanting to finish an MVP (Minimum Viable Product) this week."
20230808-165921,"The person is using Chrome and performing various actions such as copying, opening new tabs, and accessing a Google Docs document, possibly related to screen capturing and task inference. They also mention wanting to finish an MVP (minimum viable product) this week."
20230808-165955,"The person is trying to log in to a website using their email and password but has forgotten their password."
20230808-170027,"The person is using the VFS Global website to retrieve an incomplete application for passport and consular services to India in the United States of America."
20230808-170101,"The person is using a web browser (Google Chrome) to navigate to a website and perform various actions related to creating a new application, adding a courier service, retrieving incomplete application address, and downloading courier labels."
20230808-170135,"The person is accessing the terms and conditions page on the website visa.vfsglobal.com/usa/en/ind."
20230808-170207,"The person is making a payment on the Adyen Payment Page using a VISA credit card with the card number 4266 8417 7193 0755 and an expiry date of 07/28."
20230808-170240,"The person is using the VFS Global website to retrieve an incomplete application for passport and consular services to India in the United States of America."
20230808-170314,"The person is applying for passport and consular services to India in the United States of America."
20230808-170347,"The person is making a payment using a credit card on the Adyen payment page for an amount of $319.71."
20230808-170421,"The person is trying to apply for passport and consular services to India in the United States of America, but their online payment transaction was not successful."
20230808-170454,"The person is accessing the terms and conditions on the VFSGlobal website for visa and passport services."
20230808-170529,"The person is reading the terms and conditions on the VFSGlobal website."
20230808-170602,"The person is attempting to apply for passport and consular services to India in the United States of America but their online payment transaction was not successful."
20230808-170635,"The person is using a web browser (Google Chrome) to access and navigate a website related to passport and consular services for India in the United States."
20230808-170709,"The person is adding a courier service label to an application and entering the customer's address for validation."
20230808-170742,"The person is making a payment of $319.71 using a credit card on the Adyen payment page of the vfsglobal website."
20230808-170815,"The person is accessing the VFS Global website to apply for passport and consular services to India in the United States of America."
20230808-170849,"The person is reading guidelines for sending their complete application/missing documents and information about shipping services and packaging."
20230808-170922,"The person is reading and understanding information about a digital photograph service on a website."
20230808-170955,"The person is using the VFS Global website to apply for passport and consular services to India in the United States of America."
20230808-171029,"The person is using an online service to create a new application for passport and consular services to India in the United States of America."
20230808-171101,"The person is using the iTerm2 shell to run a Python script for extracting text from a PDF file and applying for a passport."
20230808-171136,"Based on the OCR of the screenshot, the person is using the Chrome browser and navigating through various tabs, including creating a new application, downloading a file, viewing terms and conditions, accessing JPMorgan Chase, and browsing Twitter, specifically the profile of ""Mid Wit Memes."" They are also interacting with tweets, retweeting, reacting, and sharing tweets."
20230808-171211,"The person is searching for and viewing information about a FedEx Office Print & Ship Center in San Francisco."
20230808-171246,"The person is writing a message on their phone."
20230808-171317,"The person is reading a book."
20230808-171349,"The person is reading a book titled ""The Great Gatsby"" by F. Scott Fitzgerald."
20230808-171421,"The person is either using their fingerprint to unlock their device or entering a password to access their work-related tasks."
20230808-171457,"The person is using Google Maps to search for a FedEx Office Ship Center in San Francisco."
20230808-171532,"The person is searching for a FedEx Office Ship Center on Google Maps."
20230808-171606,"The person is using Google Maps to search for a FedEx Office Ship Center in San Francisco."
20230808-194930,"The person is reading and responding to emails, browsing Twitter, and discussing their mother's newfound interest in exercise."
20230808-195004,"The person is navigating through different channels and groups in the Slack app."
20230808-195038,"The person is using WhatsApp and searching for something or starting a new chat."
20230808-195112,"The person is using the Slack app and navigating through different channels and threads, discussing issues and PRs related to a project."
20230808-195146,"The person is browsing LinkedIn and interacting with posts and messages."
20230808-195220,"The person is using Firefox to browse LinkedIn and read and respond to messages."
20230808-195252,"The person is discussing and analyzing the properties and behavior of a material called LK-99, specifically its levitation and superconducting properties, on a forum post on Hacker News."
20230808-195327,"The person is reading and engaging in a discussion about a controversial topic related to a scientific breakthrough."
20230808-195400,"The person is reading and participating in a discussion on a website called Hacker News."
20230808-195434,"The person is reading and engaging in a discussion on Hacker News about a controversial technology development."
20230808-195507,"The person is reading and engaging in a discussion on Hacker News about a scientific controversy regarding a technology called LK-99."
20230808-195541,"The person is reading and engaging in a discussion on the Hacker News website about the controversy surrounding the LK-99 topological superconductor."
20230808-195615,"The person is reading and participating in a discussion on Hacker News about a controversial technology called LK-99."
20230808-195648,"The person is reading and engaging in a discussion on Hacker News about a controversial scientific technology."
20230808-195722,"The person is reading and commenting on a thread about a controversial technology on Hacker News."
20230808-195755,"The person is reading and participating in a discussion on Hacker News about a potential new type of superconductor."
20230808-195829,"The person is reading and engaging in a discussion on an online forum about the properties and potential of a material called LK-99, specifically its potential as a superconductor."
20230808-195903,"The person is reading and participating in a discussion about a scientific article on superconductivity on a website using the Firefox browser."
20230808-195936,"The person is participating in a discussion on a website about scientific findings and skepticism."
20230808-200010,"The person is using Firefox, searching on Metakgp, upgrading something related to FC, using Slack, sending files, discussing a project, talking about passport renewal, discussing pressure from parents, discussing a project called ""project-mojo"", discussing sensitive topics, discussing IITKGP Founders & Investors, missing a video call, discussing a family group, discussing finances, discussing a project called ""datascience_folks"", discussing a project called ""foss-in-kgp"", discussing"
20230808-200047,"The person is using Firefox, searching on Metakgp, upgrading something, using Slack, discussing passport renewal, discussing a project, discussing sensitive topics, browsing the IITKGP wiki, discussing a strategic investor, discussing finances, discussing a video call, discussing a card, discussing data science, discussing finances again, discussing a project, and listening to music on a channel called ""finances."""
20230808-200123,"The person is using Firefox to search for something on Metakgp, using Slack to chat with others, discussing generative algorithms, sending a passport for renewal, discussing project-mojo, discussing family matters, discussing sensitive topics, discussing IITKGP Founders&Investors, discussing a strategic investor, discussing missed video call, discussing Mahavir's Mast Family, discussing finances, discussing GSOC, discussing KWOC-18, discussing Leanin, sharing a YouTube video, joining a music"
20230808-200159,"The person is using the Firefox browser, searching on Metakgp, using Slack, discussing various topics, sending passport for renewal, talking about finances, watching YouTube videos, and joining a music channel."
20230808-200234,"The person is using the Firefox browser, searching on Metakgp, upgrading PI, using Slack, discussing generative algorithms, discussing passport renewal, discussing pressure from parents, discussing a driving license, discussing a project called ""project-mojo"", discussing a birthday wish, discussing sensitive topics, discussing IITKGP Founders & Investors, discussing a missed video call, discussing Mahavir's Mast Family, discussing a card, discussing data science, discussing finances, discussing foss-in-kgp,"
20230808-200310,"The person is using the Firefox browser and engaging in various activities such as searching, using Slack, discussing projects, sending passport for renewal, discussing finances, and listening to music."
20230808-200345,"The person is using Firefox and engaging in various activities such as searching on Metakgp, upgrading FC, using Slack, discussing generative AI, sending passport for renewal, discussing pressure from parents, discussing a strategic investor, missing a video call, discussing finances, reading a reading list, and listening to music."
20230808-200419,"The person is using the Firefox browser, searching on Metakgp, using Slack, and participating in various chat discussions."
20230808-200453,"The person is using Slack to chat and share files with others in various channels."
20230808-200528,"The person is using various applications and platforms such as Firefox, Slack, and Wiki, engaging in activities like searching, chatting, sending files, discussing projects, and reading."
20230808-200602,"The person is using the Firefox browser and engaging in various activities such as searching, using Slack, reading messages, discussing projects, and watching a YouTube video."
20230808-200636,"The person is using Firefox and engaging in various activities such as searching on Metakgp, using Slack, reading messages on different channels, discussing projects, and watching videos on YouTube."
20230808-200711,"The person is using the Firefox browser, searching on Metakgp, using Slack, and participating in various discussions and chats."
20230808-200745,"The person is using Slack to chat and share files with others in various channels, including finances, projects, and random discussions."
20230808-200819,"The person is using various applications and platforms such as Firefox, Slack, and Wiki, engaging in activities like searching, chatting, file management, and participating in group discussions."
20230808-200854,"The person is using Firefox and performing various activities such as searching, chatting, accessing files, discussing projects, and reading a reading list."
20230808-200928,"The person is using the Firefox browser and engaging in various activities such as searching, using Slack, reading messages, discussing projects, and watching videos."
20230808-201002,"The person is using the Firefox browser, searching on Metakgp, using Slack, discussing generative algorithms, sending a passport for renewal, discussing a meetup, discussing project-mojo, discussing IITKGP Founders&Investors, missed a video call, discussing finances, reading a reading list, and listening to music in the finances channel."
20230808-201037,"The person is using Firefox to search for something on Metakgp, using Slack to communicate with others, discussing files and projects, and participating in various channels and discussions."
20230808-201111,"The person is using the Firefox browser and engaging in various activities such as searching, using Slack, discussing topics in different channels, reading, and watching videos."
20230808-201743,"The person is reading a book."
20230808-230409,"The person is using the iTerm2 shell to run a Python script and encountering an error related to communication with OpenAI."
20230808-230444,"The person is checking their Gmail inbox and composing a new email. They are also reflecting on their productivity and reading a horoscope."
20230808-230517,"The person is using Gmail and composing an email, while also reflecting on their actions and feelings."
20230808-230550,"The person is using Gmail to compose an email while reflecting on their actions and feelings, including their relationship with themselves and their doubts. They are also reading a note and contemplating on what is coming to their mind before getting back to work."
20230808-230626,"The person is using their Gmail account and contemplating their current state of mind and work."
20230808-230658,"The person is using Safari to access their Gmail account and contemplating their current activities and priorities."
20230808-230732,"The person is using Safari to access Gmail and is contemplating their work and personal tasks while also considering their horoscope for the day. They are also discussing writing down their thoughts and getting back to work."
20230808-230806,"The person is checking their Gmail inbox and drafting an email, while also reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data for timesheets."
20230808-230840,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data for timesheets."
20230808-230914,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data for timesheets."
20230808-230950,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data for timesheets."
20230808-231025,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data."
20230808-231100,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data."
20230808-231136,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data."
20230808-231210,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to more work and working on a screen sharing project using GPT-4 to create sample data."
20230808-231246,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to work and working on a screen sharing project using GPT-4 to create sample data."
20230808-231321,"The person is checking their Gmail inbox, drafting an email, and reflecting on their feelings of fear and self-doubt. They are considering getting back to someone named Harsh, working on a screen sharing project using GPT-4 to create sample data, and managing their email labels and notes."
20230808-231355,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone named Harsh, working on a screen sharing project using GPT-4 to create sample data, and managing their email labels and notes."
20230808-231430,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone named Harsh, working on a screen sharing project using GPT-4 to create sample data, and managing their email labels and notes."
20230808-231505,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and working on a screen sharing project using GPT-4 to create sample data, managing their email labels and notes."
20230808-231541,"The person is checking their Gmail inbox, drafting an email, reflecting on their feelings of fear and self-doubt, considering getting back to someone, and working on a screen sharing project using GPT-4 to create sample data, managing their email labels and notes."
